Detail_url,Name,Rating,Genre,Date,Runtime,Director
https://www.themoviedb.org/movie/524434,Eternals,70.0,"Science Fiction, Action, Adventure",05/11/2021 (US),2h 36m,Jim Starlin
https://www.themoviedb.org/movie/198663,The Maze Runner,72.0,"Action, Mystery, Science Fiction, Thriller",18/09/2014 (IN),1h 53m,James Dashner
https://www.themoviedb.org/movie/671,Harry Potter and the Philosopher's Stone,79.0,"Adventure, Fantasy",12/04/2002 (IN),2h 32m,J.K. Rowling
https://www.themoviedb.org/movie/632357,The Unholy,67.0,"Horror, Mystery",02/04/2021 (US),1h 39m,James Herbert
https://www.themoviedb.org/movie/762975,Purple Hearts,83.0,"Romance, Drama",29/07/2022 (US),2h 2m,Kyle Jarrow
https://www.themoviedb.org/movie/674,Harry Potter and the Goblet of Fire,78.0,"Adventure, Fantasy, Family",18/11/2005 (IN),2h 37m,J.K. Rowling
https://www.themoviedb.org/movie/614934,Elvis,78.0,"Drama, History, Music",23/06/2022 (AU),2h 39m,Jeremy Doner
https://www.themoviedb.org/movie/667739,The Man from Toronto,66.0,"Action, Comedy",24/06/2022 (US),1h 53m,Patrick Hughes
https://www.themoviedb.org/movie/508943,Luca,79.0,"Animation, Comedy, Family, Fantasy",17/06/2021 (RU),1h 35m,Jesse Andrews
https://www.themoviedb.org/movie/960704,Fullmetal Alchemist: The Final Alchemy,70.0,"Action, Adventure, Fantasy",24/06/2022 (JP),2h 23m,Takeshi Miyamoto
https://www.themoviedb.org/movie/619803,The Roundup,73.0,"Crime, Action",18/05/2022 (KR),1h 46m,Kim Min-sung
https://www.themoviedb.org/movie/705861,Hustle,79.0,"Drama, Comedy",03/06/2022 (US),1h 58m,Will Fetters
https://www.themoviedb.org/movie/672,Harry Potter and the Chamber of Secrets,77.0,"Adventure, Fantasy",25/04/2003 (IN),2h 41m,J.K. Rowling
https://www.themoviedb.org/movie/895744,Studio 666,63.0,"Horror, Comedy, Music",25/02/2022 (US),1h 46m,Rebecca Hughes
https://www.themoviedb.org/movie/767,Harry Potter and the Half-Blood Prince,77.0,"Adventure, Fantasy",07/07/2009 (GB),2h 33m,J.K. Rowling
https://www.themoviedb.org/movie/624860,The Matrix Resurrections,66.0,"Science Fiction, Action, Adventure",22/12/2021 (US),2h 28m,Lilly Wachowski
https://www.themoviedb.org/movie/862,Toy Story,80.0,"Animation, Adventure, Family, Comedy",22/11/1995 (US),1h 21m,Andrew Stanton
https://www.themoviedb.org/movie/675445,PAW Patrol: The Movie,74.0,"Animation, Family, Adventure, Comedy",20/08/2021 (US),1h 26m,Billy Frolick
https://www.themoviedb.org/movie/639721,The Addams Family 2,71.0,"Animation, Adventure, Comedy, Family, Fantasy, Horror",01/10/2021 (US),1h 33m,Dan Hernandez
https://www.themoviedb.org/movie/637649,Wrath of Man,77.0,"Action, Crime, Thriller",07/05/2021 (US),1h 59m,Marn Davies
https://www.themoviedb.org/movie/399566,Godzilla vs. Kong,77.0,"Action, Fantasy, Science Fiction",24/03/2021 (IN),1h 54m,Eric Pearson
https://www.themoviedb.org/movie/791373,Zack Snyder's Justice League,82.0,"Action, Adventure, Fantasy, Science Fiction",18/03/2021 (IN),4h 2m,Chris Terrio
https://www.themoviedb.org/movie/592350,My Hero Academia: Heroes Rising,83.0,"Animation, Action, Fantasy, Adventure",20/12/2019 (JP),1h 44m,Kenji Nagasaki
https://www.themoviedb.org/movie/1014530,Ivy + Bean: Doomed to Dance,60.0,"Family, Comedy",02/09/2022 (US),57m,Kathy Waugh
https://www.themoviedb.org/movie/673,Harry Potter and the Prisoner of Azkaban,80.0,"Adventure, Fantasy",04/06/2004 (IN),2h 21m,J.K. Rowling
https://www.themoviedb.org/movie/531219,Roald Dahl's The Witches,64.0,"Adventure, Fantasy, Family, Comedy, Horror",29/10/2020 (MX),1h 46m,Roald Dahl
https://www.themoviedb.org/movie/880313,The Wrath of God,64.0,"Thriller, Drama",15/06/2022 (AR),1h 37m,Guillermo Martínez
https://www.themoviedb.org/movie/383498,Deadpool 2,75.0,"Action, Comedy, Adventure",18/05/2018 (IN),2h,Ryan Reynolds
https://www.themoviedb.org/movie/602223,The Forever Purge,72.0,"Horror, Action, Thriller",02/07/2021 (US),1h 43m,Everardo Gout
https://www.themoviedb.org/movie/588228,The Tomorrow War,79.0,"Action, Science Fiction, Adventure",02/07/2021 (US),2h 18m,Zach Dean
https://www.themoviedb.org/movie/474350,It Chapter Two,69.0,"Horror, Fantasy",06/09/2019 (IN),2h 50m,Stephen King
https://www.themoviedb.org/movie/892527,King,67.0,"Adventure, Comedy, Family",16/02/2022 (FR),1h 45m,Gael Malry
https://www.themoviedb.org/movie/615469,Spiderhead,58.0,"Science Fiction, Thriller",17/06/2022 (US),1h 46m,Paul Wernick
https://www.themoviedb.org/movie/12445,Harry Potter and the Deathly Hallows: Part 2,81.0,"Fantasy, Adventure",07/07/2011 (GB),2h 10m,J.K. Rowling
https://www.themoviedb.org/movie/8587,The Lion King,83.0,"Family, Animation, Drama",10/10/1994 (IN),1h 29m,Roger Allers
https://www.themoviedb.org/movie/529203,The Croods: A New Age,76.0,"Animation, Family, Adventure, Fantasy, Comedy",25/11/2020 (US),1h 35m,Kirk DeMicco
https://www.themoviedb.org/movie/385128,F9,72.0,"Action, Crime, Thriller",25/06/2021 (IN),2h 23m,Daniel Casey
https://www.themoviedb.org/movie/476669,The King's Man,69.0,"Action, Adventure, Thriller, War, Mystery",14/01/2022 (IN),2h 11m,Karl Gajdusek
https://www.themoviedb.org/movie/800345,Carter,61.0,Action,05/08/2022 (KR),2h 12m,Jung Byeong-sik
https://www.themoviedb.org/movie/24428,The Avengers,77.0,"Science Fiction, Action, Adventure",27/04/2012 (IN),2h 23m,Jack Kirby
https://www.themoviedb.org/movie/138843,The Conjuring,75.0,"Horror, Thriller",02/08/2013 (IN),1h 52m,Chad Hayes
https://www.themoviedb.org/movie/809,Shrek 2,72.0,"Animation, Family, Comedy, Fantasy, Adventure",20/08/2004 (IN),1h 33m,Charles Perrault
https://www.themoviedb.org/movie/7445,Brothers,72.0,"Drama, Thriller, War",02/12/2009 (US),1h 45m,David Benioff
https://www.themoviedb.org/movie/877183,The Simpsons in Plusaversary,66.0,"Animation, Comedy, Fantasy",12/11/2021 (US),4m,Joel Cohen
https://www.themoviedb.org/movie/299534,Avengers: Endgame,83.0,"Adventure, Science Fiction, Action",26/04/2019 (IN),3h 1m,Jack Kirby
https://www.themoviedb.org/movie/1013228,I Used to Be Famous,75.0,"Comedy, Drama, Music",09/09/2022 (GB),1h 44m,Zak Klein
https://www.themoviedb.org/movie/527774,Raya and the Last Dragon,80.0,"Animation, Family, Fantasy, Action, Adventure",05/03/2021 (US),1h 47m,Carlos López Estrada
https://www.themoviedb.org/movie/520763,A Quiet Place Part II,76.0,"Science Fiction, Thriller, Horror",28/05/2021 (US),1h 37m,Scott Beck
https://www.themoviedb.org/movie/589761,Chernobyl: Abyss,62.0,"Drama, History, Adventure, Action, Fantasy, Mystery",15/04/2021 (RU),2h 16m,Alexey Kazakov
https://www.themoviedb.org/movie/675,Harry Potter and the Order of the Phoenix,77.0,"Adventure, Fantasy, Mystery",03/07/2007 (GB),2h 18m,J.K. Rowling
https://www.themoviedb.org/movie/818502,Fenced In,60.0,Comedy,01/09/2022 (BR),1h 50m,Paulo Cursino
https://www.themoviedb.org/movie/425909,Ghostbusters: Afterlife,76.0,"Fantasy, Comedy, Adventure",19/11/2021 (US),2h 4m,Gil Kenan
https://www.themoviedb.org/movie/505262,My Hero Academia: Two Heroes,79.0,"Animation, Action, Adventure, Fantasy",03/08/2018 (JP),1h 36m,Kenji Nagasaki
https://www.themoviedb.org/movie/585,"Monsters, Inc.",78.0,"Animation, Comedy, Family",01/11/2001 (US),1h 32m,Pete Docter
https://www.themoviedb.org/movie/811631,Infinite Storm,62.0,"Drama, Thriller",25/03/2022 (US),1h 37m,Joshua Rollins
https://www.themoviedb.org/movie/550988,Free Guy,76.0,"Comedy, Adventure, Science Fiction",17/09/2021 (IN),1h 55m,Shawn Levy
https://www.themoviedb.org/movie/648579,The Unbearable Weight of Massive Talent,69.0,"Action, Comedy, Crime",22/04/2022 (US),1h 47m,Kevin Etten
https://www.themoviedb.org/movie/118,Charlie and the Chocolate Factory,70.0,"Adventure, Comedy, Family, Fantasy",15/07/2005 (US),1h 55m,Tim Burton
https://www.themoviedb.org/movie/821133,HollyBlood,57.0,"Comedy, Fantasy, Romance",22/07/2022 (ES),1h 28m,José Pérez Quintero
https://www.themoviedb.org/movie/696806,The Adam Project,71.0,"Action, Adventure, Comedy, Science Fiction",11/03/2022 (US),1h 46m,Jennifer Flackett
https://www.themoviedb.org/movie/12444,Harry Potter and the Deathly Hallows: Part 1,78.0,"Adventure, Fantasy",19/11/2010 (GB),2h 26m,J.K. Rowling
https://www.themoviedb.org/movie/482373,Don't Breathe 2,73.0,"Thriller, Horror",17/09/2021 (IN),1h 38m,Fede Álvarez
https://www.themoviedb.org/movie/420818,The Lion King,71.0,"Adventure, Family, Animation, Drama",19/07/2019 (IN),1h 58m,Irene Mecchi
https://www.themoviedb.org/movie/778810,Fireheart,75.0,"Animation, Comedy, Family",13/07/2022 (CA),1h 32m,Jennica Harper
https://www.themoviedb.org/movie/120,The Lord of the Rings: The Fellowship of the Ring,84.0,"Adventure, Fantasy, Action",15/03/2002 (IN),2h 59m,J.R.R. Tolkien
https://www.themoviedb.org/movie/157336,Interstellar,84.0,"Adventure, Drama, Science Fiction",07/11/2014 (IN),2h 49m,Jonathan Nolan
https://www.themoviedb.org/movie/892153,Tom and Jerry Cowboy Up!,69.0,"Animation, Comedy, Family, Western",25/01/2022 (US),1h 15m,William Hanna
https://www.themoviedb.org/movie/400160,The SpongeBob Movie: Sponge on the Run,76.0,"Family, Animation, Fantasy, Adventure, Comedy",14/08/2020 (CA),1h 35m,Stephen Hillenburg
https://www.themoviedb.org/movie/451048,Jungle Cruise,75.0,"Action, Adventure, Fantasy",24/09/2021 (IN),2h 7m,John Requa
https://www.themoviedb.org/movie/609972,Paranormal Activity: Next of Kin,64.0,"Horror, Mystery, Thriller",29/10/2021 (ES),1h 38m,Christopher Landon
https://www.themoviedb.org/movie/420821,Chip 'n Dale: Rescue Rangers,71.0,"Animation, Family, Comedy, Adventure, Mystery",20/05/2022 (US),1h 39m,Dan Gregor
